代码,名称,当前价,涨跌幅,信号强度,历史20日胜率,操作建议,复盘逻辑
000888,峨眉山Ａ,13.38,0.98%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688098,申联生物,9.68,0.1%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000949,新乡化纤,6.16,1.65%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600992,贵绳股份,14.15,1.22%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601611,中国核建,19.94,9.98%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600748,上实发展,6.55,0.0%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002797,第一创业,7.2,1.98%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601968,宝钢包装,5.59,1.45%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002292,奥飞娱乐,10.85,8.61%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
605162,新中港,10.18,9.58%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600866,星湖科技,7.14,0.28%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000338,潍柴动力,18.84,2.73%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002357,富临运业,11.06,-1.25%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600000,浦发银行,11.66,1.04%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002334,英威腾,9.29,1.75%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600773,西藏城投,14.07,5.16%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600075,新疆天业,5.41,1.31%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603618,杭电股份,8.52,1.31%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002810,山东赫达,15.03,0.54%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002530,金财互联,11.53,6.37%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600072,中船科技,12.3,2.16%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600288,大恒科技,16.03,2.43%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600839,四川长虹,10.38,9.96%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002892,科力尔,13.65,2.02%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002951,金时科技,14.98,0.54%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600032,浙江新能,7.72,0.39%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002394,联发股份,19.97,10.03%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603969,银龙股份,11.41,10.03%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688119,中钢洛耐,7.86,20.0%,70%,100.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600250,南京商旅,12.01,2.04%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002235,安妮股份,11.14,3.63%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603577,汇金通,10.74,-1.38%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600983,惠而浦,10.3,0.1%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601921,浙版传媒,8.29,1.84%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600452,涪陵电力,10.42,7.64%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002382,蓝帆医疗,6.07,3.94%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603230,内蒙新华,13.13,1.55%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603808,歌力思,9.24,3.94%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603321,梅轮电梯,8.31,-1.07%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688517,金冠电气,16.62,1.22%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600703,三安光电,15.8,2.66%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600682,南京新百,9.15,2.81%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000859,国风新材,13.5,2.12%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688616,西力科技,12.8,0.87%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601696,中银证券,14.99,0.94%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002534,西子洁能,16.77,1.02%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000017,深中华A,8.1,1.38%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688327,云从科技,17.77,9.02%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002540,亚太科技,7.29,1.53%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601872,招商轮船,10.7,8.85%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002340,格林美,8.82,0.57%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002799,环球印务,9.69,3.42%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002203,海亮股份,14.41,2.56%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603610,麒盛科技,19.25,-0.88%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002682,龙洲股份,8.65,4.22%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
001216,华瓷股份,17.95,0.39%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601116,三江购物,17.25,10.01%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002748,世龙实业,12.85,1.66%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603885,吉祥航空,15.19,0.86%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600995,南网储能,13.18,1.07%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688057,金达莱,12.68,0.24%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600271,航天信息,13.66,6.22%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688389,普门科技,13.93,2.05%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002019,亿帆医药,13.02,1.09%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002031,巨轮智能,8.57,4.26%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688022,瀚川智能,16.27,0.87%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603368,柳药集团,18.59,-0.43%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600598,北大荒,15.55,-1.21%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002331,皖通科技,9.48,1.94%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600843,上工申贝,12.63,3.36%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603809,豪能股份,15.37,3.02%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000590,启迪药业,11.53,-0.35%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002845,同兴达,14.84,2.06%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002152,广电运通,14.02,2.26%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002194,武汉凡谷,14.5,3.65%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600295,鄂尔多斯,14.85,-6.01%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002300,太阳电缆,10.03,3.51%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601990,南京证券,8.19,0.99%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002483,润邦股份,7.18,0.0%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600517,国网英大,6.36,0.32%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002161,远 望 谷,8.12,6.42%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600901,江苏金租,6.2,-1.59%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000672,上峰水泥,13.48,4.25%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603300,海南华铁,8.17,1.49%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600704,物产中大,5.86,2.09%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601360,三六零,13.35,9.97%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600481,双良节能,7.37,4.84%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603608,天创时尚,9.82,9.97%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603887,城地香江,15.38,0.26%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600604,市北高新,6.26,1.95%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601068,中铝国际,6.0,0.0%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600428,中远海特,7.4,3.79%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002758,浙农股份,10.16,0.4%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000155,川能动力,12.59,1.78%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600326,西藏天路,11.44,1.33%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002216,三全食品,11.71,1.74%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002769,普路通,12.5,10.04%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603679,华体科技,17.83,-0.78%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600810,神马股份,9.3,0.76%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000795,英洛华,10.41,0.68%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002910,庄园牧场,12.02,4.43%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002454,松芝股份,8.86,0.0%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601139,深圳燃气,6.72,1.2%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002527,新时达,17.1,2.27%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688468,科美诊断,8.06,2.68%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002319,乐通股份,12.4,-1.35%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002373,千方科技,13.52,3.44%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603599,广信股份,11.91,0.25%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603898,好莱客,13.63,-0.87%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688355,明志科技,19.22,3.95%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600889,南京化纤,16.35,-0.73%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603113,金能科技,6.47,-0.46%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002921,联诚精密,18.02,-1.74%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002950,奥美医疗,11.73,1.82%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002225,濮耐股份,6.11,-0.81%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600719,大连热电,6.26,0.64%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002879,长缆科技,19.41,1.46%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
605599,菜百股份,17.25,-0.29%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002533,金杯电工,13.05,0.0%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002121,科陆电子,8.19,0.74%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601012,隆基绿能,19.23,4.57%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002443,金洲管道,8.86,10.06%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000060,中金岭南,6.5,-0.15%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002609,捷顺科技,10.47,8.27%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603617,君禾股份,7.84,1.03%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
003037,三和管桩,8.38,-1.06%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000821,京山轻机,14.3,2.29%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603990,麦迪科技,16.05,2.29%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600115,中国东航,6.0,0.33%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002167,东方锆业,13.48,0.0%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002745,木林森,9.66,2.77%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600050,中国联通,5.49,1.29%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000881,中广核技,9.59,3.01%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000592,平潭发展,15.43,3.07%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000759,中百集团,8.3,1.34%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603488,展鹏科技,10.67,10.0%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603165,荣晟环保,12.94,1.41%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
605136,丽人丽妆,12.2,5.72%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002488,金固股份,12.08,8.83%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601212,白银有色,6.28,6.08%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002264,新 华 都,10.23,5.46%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603020,爱普股份,10.86,4.73%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603889,新澳股份,8.71,6.35%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600444,国机通用,19.73,0.36%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603043,广州酒家,17.87,1.65%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000710,贝瑞基因,13.14,3.79%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000703,恒逸石化,10.27,-2.1%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002419,天虹股份,6.22,3.15%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000036,华联控股,6.85,1.78%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603025,大豪科技,18.85,2.56%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002434,万里扬,9.64,3.88%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600718,东软集团,11.72,3.72%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600668,尖峰集团,11.49,-0.09%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002911,佛燃能源,12.4,-0.32%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603033,三维股份,11.17,1.36%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002995,天地在线,19.83,6.38%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002457,青龙管业,11.23,-1.14%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600822,上海物贸,11.33,0.0%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603278,大业股份,17.72,9.99%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002221,东华能源,8.31,-0.12%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
001299,美能能源,12.87,0.08%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000617,中油资本,9.97,1.84%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600505,西昌电力,13.65,0.59%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600848,上海临港,12.25,-0.57%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002736,国信证券,13.52,0.52%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002098,浔兴股份,11.03,9.32%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600909,华安证券,7.31,0.69%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688280,精进电动,9.21,1.77%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603660,苏州科达,12.22,6.91%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002659,凯文教育,6.85,9.95%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603162,海通发展,12.35,-1.59%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002522,浙江众成,5.88,0.34%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600641,万业企业,19.24,-0.1%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002279,久其软件,9.74,3.84%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002510,天汽模,7.93,1.8%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000810,创维数字,12.92,3.28%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600738,丽尚国潮,5.32,0.76%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002057,中钢天源,10.71,0.09%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002054,德美化工,8.31,6.81%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688599,天合光能,19.9,8.62%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002440,闰土股份,7.88,1.16%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688526,科前生物,16.23,0.87%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601200,上海环境,8.21,0.61%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603506,南都物业,13.4,0.68%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002093,国脉科技,12.7,4.79%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000505,京粮控股,8.01,1.39%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603967,中创物流,13.21,1.54%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002739,万达电影,11.59,1.22%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601519,大智慧,15.3,7.97%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600746,江苏索普,7.12,0.42%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600215,派斯林,8.67,2.48%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002805,丰元股份,17.7,1.32%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600894,广日股份,9.63,0.21%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600106,重庆路桥,6.46,-0.15%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002500,山西证券,6.24,1.46%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600198,大唐电信,11.15,4.89%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002674,兴业科技,14.99,3.09%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600830,香溢融通,9.95,0.71%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002941,新疆交建,16.94,0.71%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600864,哈投股份,7.17,3.02%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600797,浙大网新,11.21,5.66%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603956,威派格,7.0,1.6%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000822,山东海化,5.52,-0.18%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002119,康强电子,18.8,0.64%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
001338,永顺泰,12.36,0.0%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002164,宁波东力,14.99,-0.79%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600973,宝胜股份,9.1,3.88%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600059,古越龙山,9.4,1.08%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600586,金晶科技,6.71,10.0%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603206,嘉环科技,18.47,3.13%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002755,奥赛康,18.53,-2.58%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002771,真视通,16.45,3.65%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000899,赣能股份,10.36,1.37%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603331,百达精工,13.9,-0.79%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603058,永吉股份,10.02,3.73%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600246,万通发展,12.94,0.47%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603328,依顿电子,11.43,-0.09%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688085,三友医疗,19.28,1.69%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002029,七 匹 狼,13.85,-1.35%,70%,66.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603017,中衡设计,14.63,10.0%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002743,富煌钢构,5.7,1.24%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000156,华数传媒,8.66,4.21%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
003025,思进智能,14.71,0.0%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603511,爱慕股份,16.72,2.39%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600768,宁波富邦,15.1,4.14%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603759,海天股份,10.95,2.34%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000922,佳电股份,15.28,5.89%,70%,60.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002366,融发核电,9.23,5.01%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000950,重药控股,6.24,-1.11%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688315,诺禾致源,15.83,5.53%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
605069,正和生态,14.89,-2.55%,70%,93.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603187,海容冷链,15.75,0.45%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688529,豪森智能,19.85,3.33%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000058,深 赛 格,9.9,1.96%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002632,道明光学,13.35,2.3%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002185,华天科技,12.14,3.67%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002617,露笑科技,8.51,1.67%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002296,辉煌科技,13.11,5.47%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600353,旭光电子,18.44,-0.97%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600109,国金证券,9.65,1.69%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000503,国新健康,11.61,10.05%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600419,天润乳业,10.04,1.01%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000039,中集集团,9.63,-0.72%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002328,新朋股份,7.2,2.86%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000890,法尔胜,5.82,10.02%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600283,钱江水利,9.67,0.21%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600589,大位科技,10.32,6.5%,70%,33.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688620,安凯微,13.11,3.31%,70%,53.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600268,国电南自,11.85,4.31%,70%,40.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000541,佛山照明,6.37,0.79%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601811,新华文轩,15.12,3.07%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000045,深纺织Ａ,12.53,0.72%,70%,13.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000166,申万宏源,5.43,1.5%,70%,0.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000932,华菱钢铁,5.69,1.25%,70%,20.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002351,漫步者,13.19,6.11%,70%,6.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
603601,再升科技,14.64,8.36%,70%,100.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
000680,山推股份,12.51,0.32%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
600468,百利电气,8.27,1.6%,70%,80.0%,试错/观察,0轴上缩量企稳，符合双保险突破模型
605007,五洲特纸,13.53,0.52%,70%,46.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601226,华电科工,8.84,-1.01%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
688033,天宜新材,8.69,3.58%,70%,73.3%,试错/观察,0轴上缩量企稳，符合双保险突破模型
002729,好利科技,18.85,5.07%,70%,26.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
601958,金钼股份,18.2,-0.98%,70%,86.7%,试错/观察,0轴上缩量企稳，符合双保险突破模型
